Publication Name,Parent Company,City,State,Type,Audit Source,Report Date,Sun/Sat,Wkdy
Abbotsford News,"Black Press Group, Ltd.",Abbotsford,BC,WKL,AAM,12/2013-AR,,"44,420"
Abilene Reporter-News,E.W. Scripps Co.,Abilene,TX,DLY,AAM,12/2013-AR,"27,629","22,068"
Adelante Valle,Associated Desert Newspapers,El Centro,CA,WKL,CAC,03/2013-AR,,"9,825"
ADEXTRA,Small Newspaper Group Inc.,Moline,IL,WKL,CAC,03/2013-AR,,"25,355"
Advertiser News (North Edition),Straus Newspapers,Vernon,NJ,WKL,CAC,06/2013-AR,,"10,409"
Advertiser News (South Edition),Straus Newspapers,Hamburg,NJ,WKL,CAC,06/2013-AR,,"9,394"
Advertiser Times,C&G Publishing,Warren,MI,WKL,CAC,03/2013-AR,,"25,801"
Advertiser-Gleam,Advertiser Gleam,Guntersville,AL,WKL,AAM,06/2013-AR,,"9,300"
Advertiser-Tribune,"Ogden Newspapers, Inc.",Tiffin,OH,CND,AAM,09/2012-AR,"8,801","8,157"
Advisor/Source Newspapers,21st Century Media,Shelby Township,MI,WKL,CAC,09/2013-AR,"116,660",
Advocate,Gannett Company Inc.,Newark,OH,CND,AAM,03/2013-AR,"14,714","11,472"
Advocate,Capital City Press LLC,Baton Rouge,LA,DLY,AAM,09/2013-AR,"114,161","95,790"
"Advocate, The Sunday Advocate",Hearst Newspapers,Stamford,CT,DLY,AAM,09/2013-AR,"19,401","12,797"
"Advocate, The Sunday Advocate-Darien News",Hearst Newspapers,Stamford,CT,BE,AAM,09/2013-AR,,"1,200"
Aegis,Tribune Publishing Company,Bel Air,MD,CNW,AAM,09/2013-AR,,"21,292"
Agri News,"Post-Bulletin Company, LLC",Rochester,MN,WKL,CAC,03/2013-AR,,"12,152"
Aiken Standard,Aiken Communications Inc.,Aiken,SC,CND,AAM,06/2012-AR,"16,294","14,950"
Airlifter,Independent Newsmedia Inc USA,Dover,DE,WKL,CAC,12/2012-AR,,"5,221"
"Akron Beacon Journal, Sunday Akron Journal","Sound Publishing, Inc.",Akron,OH,DLY,AAM,03/2013-AR,"114,124","81,212"
Al Dia,"Al Dia, Inc.",Philadelphia,PA,WKL,CAC,06/2013-AR,"34,061",
Alamogordo Daily News,"MediaNews Group, Inc.",Alamogordo,NM,CND,AAM,06/2012-AR,"5,993","5,251"
Albany Democrat-Herald,"Lee Enterprises, Incorporated",Albany,OR,CND,AAM,12/2012-AR,"15,097","14,369"
Alberni Valley News,"Black Press Group, Ltd.",Port Alberni,BC,WKL,AAM,03/2014-AR,,"9,171"
Alberni Valley Times,Glacier Media Group,Port Alberni,BC,DLY,AAM,09/2011-AR,,"3,966"
Albuquerque Journal,Journal Publishing Company,Albuquerque,NM,DLY,AAM,12/2013-AR,"104,296","91,949"
Albuquerque Journal-Mountain View Telegraph,Journal Publishing Company,Albuquerque,NM,BE,AAM,12/2013-AR,,"2,858"
Albuquerque Journal-Sunday Shopper,Journal Publishing Company,Albuquerque,NM,BE,AAM,Click Qtrly,,
Alive!,Dispatch Printing Company,Columbus,OH,WKL,CAC,06/2013-AR,,"38,479"
Allston Brighton Tab,GateHouse Media,Allston & Brighton,MA,WKL,AAM,03/2013-AR,,448
Alpena News,"Ogden Newspapers, Inc.",Alpena,MI,CND,AAM,09/2013-AR,"9,243","8,303"
Alpharetta Neighbor,"Neighbor Newspapers, Inc.",Marietta,GA,WKL,CAC,12/2012-AR,,"10,737"
Altoona Mirror,"Ogden Newspapers, Inc.",Altoona,PA,DLY,AAM,12/2012-AR,"35,415","27,100"
amNewYork,Newsday Media Group,New York,NY,WKL,CAC,09/2013-AR,,"335,900"
Amarillo Globe-News,Morris Publishing Group,Amarillo,TX,DLY,AAM,09/2012-AR,"43,850","34,213"
Ambler Gazette,Journal Register Publishing Company,Ft. Washington,PA,WKL,CAC,06/2013-AR,,"4,654"
American Banker,SourceMedia,New York,NY,DLY,AAM,03/2013-AR,,"7,524"
American News,Aberdeen News Company,Aberdeen,SD,DLY,CAC,06/2013-AR,"18,317","16,801"
Amesbury News,GateHouse Media,Amesbury,MA,WKL,AAM,03/2013-AR,,636
Anchorage Daily News,McClatchy Company,Anchorage,AK,DLY,AAM,06/2013-AR,"46,416","45,806"
